timestamp,total_pkt_cnt,tcp_cnt,udp_cnt,icmp_cnt,syn_cnt,ack_cnt,unique_dst_port_cnt,unique_src_ip_cnt,dns_query_cnt,gratuitous_arp_cnt,failed_login_cnt,mac_change_cnt,label
1779282280,4,2,0,0,0,2,1,1,0,1,0,0,0
1779282290,67,61,6,0,4,57,5,3,4,0,0,0,0
1779282295,261,177,82,0,18,164,39,7,40,0,0,0,0
1779282300,208,196,12,0,8,192,13,7,6,0,0,0,0
1779282305,4,4,0,0,0,4,3,3,0,0,0,0,0
1779282310,4,4,0,0,0,4,3,3,0,0,0,0,0
1779282315,14,14,0,0,0,14,3,3,0,0,0,0,0
1779282320,10,10,0,0,0,10,3,3,0,0,0,0,0
1779282325,3,3,0,0,0,3,3,3,0,0,0,0,0
1779282330,5,5,0,0,0,5,3,3,0,0,0,0,0
1779282335,2,2,0,0,0,2,2,2,0,0,0,0,0
1779282340,4,2,0,0,0,2,2,2,0,1,0,0,0
1779282345,4,2,0,0,0,2,2,2,0,0,0,0,0
1779282350,65,65,0,0,2,61,6,4,0,0,0,0,0
1779282355,27,15,12,0,0,15,10,5,6,0,0,0,0
1779282360,9,9,0,0,0,9,3,3,0,0,0,0,0
1779282365,12,4,8,0,0,4,6,3,5,0,0,0,0
1779282370,3972,519,3453,0,44,490,63,13,49,0,0,0,0
1779282375,551,234,317,0,12,224,30,9,20,0,0,0,0
1779282380,3602,75,3527,0,4,73,29,9,24,0,0,0,0
1779282385,1105,393,712,0,18,382,41,16,23,0,0,0,0
1779282390,4012,324,3688,0,4,306,26,13,14,0,0,0,0
1779282395,3133,151,2982,0,10,145,38,13,26,0,0,0,0
1779282400,1250,80,1170,0,4,78,22,13,5,0,0,0,0
1779282405,1417,400,1017,0,12,392,26,14,5,0,0,0,0
1779282410,495,16,479,0,0,16,10,8,0,0,0,0,0
1779282415,34,16,18,0,0,16,9,7,0,0,0,0,0
1779282420,673,8,665,0,0,8,7,5,0,0,0,0,0
1779282425,398,14,384,0,0,14,9,7,0,0,0,0,0
1779282430,259,20,239,0,0,20,10,7,0,0,0,0,0
1779282435,908,6,902,0,0,6,11,6,6,0,0,0,0
1779282440,473,8,465,0,0,8,7,5,0,0,0,0,0
1779282445,396,10,386,0,0,10,8,6,0,0,0,0,0
